local_authority,median_income,region,population,suicides,unemployment_rate,worthwhile,living_score
Enfield,29212.3655913978,London,332705,17,5.31309391,7.98,27.479
Greenwich,31079.8994974874,London,282849,25,5.45204397,7.74,24.635
Hackney,30373.9884393063,London,275929,18,5.70756731,7.64,36.053
Hammersmith and Fulham,36015.6626506024,London,182998,20,5.589939,7.61,35.009
Haringey,29707.5187969924,London,271224,18,5.545301579999999,7.73,34.361
Harrow,33445.1127819548,London,248880,11,3.64348143,7.8,18.953
Havering,33762.6506024096,London,256039,19,4.12813905,7.87,16.749
Hillingdon,33584,London,302343,36,4.25550825,7.81,20.298
Hounslow,32901.3274336283,London,269100,30,5.3889830299999995,7.65,29.818
Islington,35448,London,235000,18,5.0394514699999995,7.49,35.373
Kensington and Chelsea,35783.5178943989,London,155741,13,6.2062580999999994,7.55,42.014
Kingston upon Thames,37901.7518796992,London,174609,17,4.28302535,7.85,24.718
Lambeth,35840,London,324048,15,5.45748122,7.62,44.402
Lewisham,32303,London,301307,24,5.14718923,7.62,36.405
Merton,35733,London,206052,11,3.7730074099999995,7.79,29.557
Newham,26370.4819277108,London,347996,21,5.5887955400000005,7.67,32.471
Redbridge,31157,London,301785,15,4.83524668,7.74,25.177
Richmond upon Thames,44906.7961165048,London,195680,21,4.1068234100000005,7.76,26.621
Southwark,32884.962406015,London,314232,17,6.110051670000001,7.65,35.982
Sutton,35661.0187016723,London,203243,15,4.91472815,7.99,21.317
Tower Hamlets,29170.9677419354,London,307964,30,7.14182954,7.6,33.213
Waltham Forest,30119.4029850746,London,275505,17,4.47154325,7.89,34.303
Wandsworth,42011.4724310776,London,323257,22,3.85817371,7.79,32.499
Westminster,35538.0597014925,London,244796,11,5.68174728,7.77,40.92
Bath and North East Somerset,30502.9925373134,South West,188678,24,3.6090265099999996,7.76,13.986
Bournemouth,27388.0597014925,South West,NA,NA,NA,NA,NA
"Bristol, City of",29423.6180904522,South West,459252,48,3.4869909999999997,7.58,22.596
Cheltenham,30412.75,South West,117128,5,2.57793894,7.84,13.496
Christchurch,28762.8140703517,South West,NA,NA,NA,NA,NA
Cornwall,25339.156626506,South West,561349,67,3.1,8.01,39.931
Cotswold,31686.216080402,South West,87509,8,2.1684794600000004,7.9,21.075
East Devon,28016.4179104477,South West,142265,11,2.30221096,8.02,21.903
East Dorset,31335.4104477611,South West,NA,NA,NA,NA,NA
Exeter,28264,South West,128916,20,2.9272394,7.94,23.485
Forest of Dean,28245.7831325301,South West,85957,9,3.66622842,7.89,24.988
Gloucester,29112,South West,129083,15,3.1406428,7.77,14.195
Isles of Scilly,28149.5223880597,South West,2259,0,NA,NA,66.667
Mendip,28455,South West,113513,12,4.21306286,8.1,19.1
Mid Devon,27733,South West,80623,13,2.45951968,8.07,35.035
North Devon,25865.4135338345,South West,95440,7,2.30803867,8.32,28.635
North Dorset,29258.4337349397,South West,NA,NA,NA,NA,NA
North Somerset,30852,South West,212834,19,3.05665149,7.78,9.682
Plymouth,26562.5,South West,263070,25,4.43838242,7.98,25.786
Poole,30131,South West,NA,NA,NA,NA,NA
Purbeck,28848.1927710843,South West,NA,NA,NA,NA,NA
Sedgemoor,27698,South West,122178,14,4.60204887,8.18,28.549
South Gloucestershire,32823.3082706766,South West,279027,20,3.09671608,7.85,9.496
South Hams,27939.7590361445,South West,85340,5,2.16423266,7.91,28.759
South Somerset,28654.6119402985,South West,167216,20,3.2709765199999996,8.09,25.018
Stroud,31505.223880597,South West,118130,10,2.6242821,7.95,14.931
Swindon,30743,South West,220363,12,4.24276504,7.83,14.221
Taunton Deane,28899,South West,NA,NA,NA,NA,NA
Teignbridge,28057.8313253012,South West,131437,23,2.60654506,8,25.047
Tewkesbury,31741.5662650602,South West,90332,7,2.45812072,7.98,15.408
Torbay,24716,South West,135247,24,3.71586483,7.89,21.199
Torridge,25036.7469879518,South West,67821,5,2.8729538900000002,7.99,36.788
West Devon,27489.7590361445,South West,55329,3,2.56682906,8.01,37.429
West Dorset,28718.0722891566,South West,NA,NA,NA,NA,NA
West Somerset,24971,South West,NA,NA,NA,NA,NA
Weymouth and Portland,27032.8571428571,South West,NA,NA,NA,NA,NA
Wiltshire,31543.2835820895,South West,496043,33,2.8,7.97,17.66
Adur,29124,South East,63721,8,3.7421666800000004,7.93,20.329
Arun,28287.3493975903,South East,158657,14,3.17198547,8.04,14.402
Ashford,30177.8571428571,South East,127527,8,3.9532134599999997,7.76,15.135
Aylesbury Vale,35172.0902255639,South East,NA,16,2.57735953,7.89,11.992
Basingstoke and Deane,36574.1935483871,South East,175337,7,2.46429448,8.2,11.394
Bracknell Forest,39545.1127819548,South East,120377,5,2.6495636499999997,7.92,4.595
Brighton and Hove,29639.7523982369,South East,288155,28,5.27719397,7.83,24.849
Canterbury,27983,South East,164100,16,4.279692310000001,7.91,11.947
Cherwell,33936,South East,147602,7,2.67677802,8,19.905
Chichester,30486.4661654135,South East,120192,13,2.67445727,8.29,24.211
Chiltern,39968.0722891566,South East,NA,8,2.58330752,7.93,6.788
Crawley,32695.4773869346,South East,111664,5,3.4680463699999997,8.03,14.368
Dartford,33690.977443609,South East,107516,12,2.92019897,7.89,26.217
Dover,27552,South East,115803,9,4.463557600000001,7.87,16.133
